Title,Code,O2 % in Gas,DVIS 5 Time Limit,Surface Interval Hours,EAD m/sw,PO2 Bar,Depth (msw),Dive Time (min),till 1st stop,24,21,18,15,12,9,6,3,Total deco time (min),Total OTU,Total ESOT,Marker
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,180,2,13.8,0.99,18,70,1.5,,,,,,,,3,4.8,68,69,0
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,180,2,13.8,0.99,18,80,1.5,,,,,,,,7,8.8,78,79,1
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,180,2,13.8,0.99,18,90,1.5,,,,,,,,13,14.8,88,90,0
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,180,2,13.8,0.99,18,100,1.5,,,,,,,,19,20.8,97,101,1
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,180,2,13.8,0.99,18,110,1.5,,,,,,,,27,28.8,107,111,0
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,180,2,13.8,0.99,18,120,1.5,,,,,,,,35,36.8,117,122,1
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,180,2,13.8,0.99,18,130,1.5,,,,,,,,43,44.8,126,133,0
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,180,2,13.8,0.99,18,140,1.5,,,,,,,,50,51.8,136,144,1
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,180,2,13.8,0.99,18,150,1.5,,,,,,,,58,59.8,146,155,3
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,120,2,16.3,1.09,21,50,1.8,,,,,,,,3,5.1,58,63,0
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,120,2,16.3,1.09,21,60,1.8,,,,,,,,9,11.1,69,76,1
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,120,2,16.3,1.09,21,70,1.8,,,,,,,,17,19.1,81,90,0
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,120,2,16.3,1.09,21,80,1.8,,,,,,,,29,31.1,92,104,1
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,120,2,16.3,1.09,21,90,1.8,,,,,,,,40,42.1,104,118,0
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,120,2,16.3,1.09,21,100,1.8,,,,,,,,51,53.1,115,132,1
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,120,2,16.3,1.09,21,110,1.5,,,,,,,2,61,65.1,127,145,0
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,120,2,16.3,1.09,21,120,1.5,,,,,,,4,69,75.1,139,159,1
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,120,2,16.3,1.09,21,130,1.5,,,,,,,5,78,85.1,150,173,0
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,120,2,16.3,1.09,21,140,1.5,,,,,,,6,87,95.1,162,187,1
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,120,2,16.3,1.09,21,150,1.5,,,,,,,7,95,104.1,173,201,3
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,120,2,18.9,1.2,24,30,2.1,,,,,,,,2,4.4,41,49,0
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,120,2,18.9,1.2,24,40,2.1,,,,,,,,4,6.4,54,64,1
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,120,2,18.9,1.2,24,50,2.1,,,,,,,,12,14.4,67,80,0
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,120,2,18.9,1.2,24,60,2.1,,,,,,,,26,28.4,80,97,1
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,120,2,18.9,1.2,24,70,1.8,,,,,,,1,40,43.4,93,114,0
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,120,2,18.9,1.2,24,80,1.8,,,,,,,4,53,59.4,107,132,1
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,120,2,18.9,1.2,24,90,1.8,,,,,,,7,64,73.4,120,150,0
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,120,2,18.9,1.2,24,100,1.8,,,,,,,10,75,87.4,134,167,1
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,120,2,18.9,1.2,24,110,1.8,,,,,,,12,86,100.4,147,184,0
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,120,2,18.9,1.2,24,120,1.8,,,,,,,14,97,113.4,161,202,3
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,120,2,21.4,1.3,27,20,2.4,,,,,,,,1,3.7,31,41,0
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,120,2,21.4,1.3,27,30,2.4,,,,,,,,4,6.7,46,60,1
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,120,2,21.4,1.3,27,40,2.4,,,,,,,,11,13.7,61,79,0
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,120,2,21.4,1.3,27,50,2.1,,,,,,,1,27,30.7,76,99,1
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,120,2,21.4,1.3,27,60,2.1,,,,,,,4,44,50.7,91,121,0
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,120,2,21.4,1.3,27,70,2.1,,,,,,,9,58,69.7,106,143,1
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,120,2,21.4,1.3,27,80,2.1,,,,,,,13,72,87.7,122,164,0
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,120,2,21.4,1.3,27,90,2.1,,,,,,,16,85,103.7,137,185,3
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,70,2,24,1.41,30,20,2.7,,,,,,,,3,6,35,50,0
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,70,2,24,1.41,30,30,2.4,,,,,,,1,7,11,51,72,1
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,70,2,24,1.41,30,40,2.4,,,,,,,2,22,27,68,96,0
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,70,2,24,1.41,30,50,2.4,,,,,,,5,42,50,85,122,1
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,70,2,24,1.41,30,60,2.4,,,,,,,11,59,73,102,148,0
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,70,2,24,1.41,30,70,2.4,,,,,,,17,74,94,119,173,1
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,70,2,24,1.41,30,80,2.1,,,,,,2,19,90,114,137,198,0
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,70,2,24,1.41,30,90,2.1,,,,,,6,22,104,135,155,225,3
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,60,2,26.5,1.51,33,20,3,,,,,,,,4,7.3,39,60,0
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,60,2,26.5,1.51,33,30,2.7,,,,,,,3,11,17.3,57,86,1
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,60,2,26.5,1.51,33,40,2.7,,,,,,,6,34,43.3,75,116,0
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,60,2,26.5,1.51,33,50,2.4,,,,,,1,11,55,70.3,95,146,1
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,60,2,26.5,1.51,33,60,2.4,,,,,,3,16,74,96.3,114,177,0
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,60,2,26.5,1.51,33,70,2.4,,,,,,5,20,91,119.3,133,207,1
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,60,2,26.5,1.51,33,80,2.4,,,,,,10,23,107,143.3,154,238,0
Nitrox 35%O2 - 75%N2 decompression tables,H2NIB15,35,60,2,26.5,1.51,33,90,2.4,,,,,,14,29,120,166.3,174,269,3
