Title,Code,O2 % in Gas,DVIS 5 Time Limit,Surface Interval Hours,Depth (msw),Dive Time (min),till 1st stop,21 air,18 air,15 air,12 air,9 air,12 oxygen,9 air,9 oxygen,6 air,6 oxygen,3 air,3 oxygen,Total deco time (min),Total OTU,Total ESOT,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,12,140,1.2,,,,,,10,,5,,,,,17.4,40,82,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,12,150,1.2,,,,,,10,,10,,,,,22.4,51,104,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,12,160,1.2,,,,,,10,,10,5,5,,,32.4,61,119,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,12,170,1.2,,,,,,10,,10,5,10,,,37.4,71,133,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,12,180,1.2,,,,,,10,,10,5,15,,,42.4,80,148,3
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,15,80,1.5,,,,,,10,,5,,,,,17.7,47,82,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,15,100,1.5,,,,,,10,,10,,,,,22.7,59,104,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,15,110,1.5,,,,,,10,,10,5,5,,,32.7,70,119,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,15,120,1.5,,,,,,10,,10,5,10,,,37.7,80,133,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,15,130,1.5,,,,,,10,,10,5,15,,,42.7,91,148,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,15,140,1.5,,,,,,20,5,20,5,10,,,62.7,133,237,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,15,150,1.5,,,,,,20,5,20,5,15,,,67.7,144,252,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,15,160,1.5,,,,,,20,5,20,5,20,5,5,82.7,162,276,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,15,170,1.5,,,,,,20,5,20,5,20,5,10,87.7,170,285,3
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,18,40,1.8,,,,,,10,,,,,,,13,37,73,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,18,50,1.8,,,,,,10,,5,,,,,18,52,98,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,18,60,1.8,,,,,,10,,10,,,,,23,65,122,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,18,70,1.8,,,,,,10,,10,5,,,,28,67,125,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,18,80,1.8,,,,,,10,,10,5,5,,,33,80,143,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,18,90,1.8,,,,,,10,,10,5,10,,,38,92,160,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,18,100,1.8,,,,,,10,,10,5,20,,,48,113,193,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,18,110,1.8,,,,,,20,5,20,5,15,,,68,157,285,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,18,120,1.8,,,,,,20,5,20,5,20,5,5,83,177,312,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,18,130,1.8,,,,,,20,5,20,5,20,5,15,93,194,333,3
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,21,30,2.1,,,,,,10,,,,,,,13.3,39,73,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,21,40,2.1,,,,,,10,,5,,,,,18.3,55,98,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,21,50,2.1,,,,,,10,,10,,,,,23.3,69,123,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,21,60,2.1,,,,,,10,,10,5,5,,,33.3,83,142,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,21,70,2.1,,,,,,10,,10,5,10,,,38.3,97,160,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,21,80,2.1,,,,,,10,,10,5,20,,,48.3,119,193,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,21,90,2.1,,,,,,20,5,20,5,20,,,73.3,174,301,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,21,100,2.1,,,,,,20,5,20,5,20,5,10,88.3,193,323,3
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,24,30,2.4,,,,,,10,,,,,,,13.6,43,76,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,24,40,2.4,,,,,,10,,10,,,,,23.6,71,124,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,24,50,2.4,,,,,,10,,10,5,5,,,33.6,86,143,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,24,60,2.4,,,,,,10,,10,5,10,,,38.6,100,162,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,24,70,2.4,,,,,,20,5,20,5,10,,,63.6,157,271,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,24,75,2.4,,,,,,20,5,20,5,20,,,73.6,178,302,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,24,80,1.5,,,,,1,20,5,20,5,20,5,5,84.6,188,313,3
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,27,20,2.7,,,,,,10,,,,,,,13.9,40,73,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,27,30,2.7,,,,,,10,,5,,,,,18.9,58,101,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,27,40,2.7,,,,,,10,,10,5,5,,,33.9,86,143,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,27,50,2.7,,,,,,10,,10,5,15,,,43.9,111,177,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,27,60,2.7,,,,,,20,5,20,5,10,,,63.9,159,272,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,27,65,2.7,,,,,,20,5,20,5,20,,,73.9,181,304,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,27,70,1.8,,,,,5,20,5,20,5,20,5,10,93.9,199,325,3
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,30,20,3,,,,,,10,,,,,,,14.2,43,76,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,30,30,3,,,,,,10,,10,5,,,,29.2,74,126,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,30,40,2.1,,,,,1,10,,10,5,10,,,40.2,100,161,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,30,50,2.1,,,,,1,20,5,20,5,10,,,65.2,159,272,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,30,55,2.1,,,,,2,20,5,20,5,20,,,76.2,182,305,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,30,60,2.1,,,,,8,20,5,20,5,20,5,10,97.2,200,326,3
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,33,10,3.3,,,,,,10,,,,,,,14.5,36,71,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,33,20,3.3,,,,,,10,,5,,,,,19.5,57,101,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,33,30,2.4,,,,,1,10,,10,5,5,,,35.5,87,144,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,33,40,2.1,,,,1,2,10,,10,5,15,,,47.5,115,181,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,33,45,2.1,,,,2,1,20,5,20,5,10,,,67.5,160,274,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,33,50,2.1,,,,2,3,20,5,20,5,20,5,5,89.5,191,317,3
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,36,10,3.6,,,,,,10,,,,,,,14.8,38,73,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,36,20,3.6,,,,,,10,,5,,,,,19.8,60,104,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,36,30,2.4,,,,2,1,10,,10,5,10,,,42.8,100,163,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,36,40,2.4,,,,3,2,20,5,20,5,15,,,74.8,170,291,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,36,45,2.4,,,,3,4,20,5,20,5,20,5,5,91.8,192,319,3
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,39,10,3.9,,,,,,10,,,,,,,15.1,39,75,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,39,20,2.7,,,,1,1,10,,10,,,,,27.1,74,128,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,39,30,2.7,,,,3,2,10,,10,5,15,,,50.1,113,183,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,39,35,2.4,,,1,3,2,20,5,20,5,10,,,71.1,160,277,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,39,40,2.4,,,2,3,4,20,5,20,5,20,5,5,94.1,192,321,3
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,42,10,4.2,,,,,,10,,,,,,,15.4,42,78,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,42,20,3,,,,2,1,10,,10,5,5,,,38.4,86,147,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,42,30,2.7,,,2,3,2,10,,10,5,20,,,57.4,126,202,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,42,35,2.7,,,3,3,3,20,5,20,5,20,,,84.4,184,313,3
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,45,10,3.6,,,,,1,10,,,,,,,16.7,43,79,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,45,20,3,,,1,2,2,10,,10,5,5,,,40.7,88,151,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,45,30,3,,,3,4,2,20,5,20,5,15,,,79.7,172,298,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,45,35,2.7,,1,3,5,4,20,5,20,5,20,5,15,108.7,210,346,3
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,48,10,3.9,,,,,1,10,,,,,,,17,44,82,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,48,20,3.3,,,2,3,1,10,,10,5,10,,,47,100,170,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,48,25,3,,1,3,3,1,10,,10,5,20,,,59,127,207,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,48,30,3,,2,3,4,4,20,5,20,5,20,5,5,99,192,328,3
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,51,10,3.9,,,,1,1,10,,5,,,,,23.3,57,107,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,51,20,3.3,,1,2,3,2,10,,10,5,10,,,49.3,103,175,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,51,25,3.3,,2,3,3,3,20,5,20,5,15,,,82.3,171,302,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,51,30,3,1,2,3,6,4,20,5,20,5,20,5,20,117.3,218,362,3
